Time,Emotion
12:47:37,Neutral
12:47:37,Neutral
12:47:37,Neutral
12:47:37,Neutral
12:47:37,Neutral
12:47:37,Neutral
12:47:37,Neutral
12:47:37,Neutral
12:47:37,Neutral
12:47:37,Neutral
12:47:37,Neutral
12:47:38,Neutral
12:47:38,Happy
12:47:38,Happy
12:47:38,Happy
12:47:38,Happy
12:47:38,Happy
12:47:38,Happy
12:47:38,Happy
12:47:38,Happy
12:47:39,Happy
12:47:39,Happy
12:47:39,Happy
12:47:39,Happy
12:47:39,Happy
12:47:39,Happy
12:47:39,Happy
12:47:39,Happy
12:47:39,Happy
12:47:39,Happy
12:47:39,Happy
12:47:40,Happy
12:47:40,Happy
12:47:40,Happy
12:47:40,Happy
12:47:40,Happy
12:47:40,Happy
12:47:40,Happy
12:47:40,Happy
12:47:40,Happy
12:47:40,Happy
12:47:40,Happy
12:47:40,Happy
12:47:41,Happy
12:47:41,Happy
12:47:41,Happy
12:47:41,Happy
12:47:41,Happy
12:47:41,Happy
12:47:41,Happy
12:47:41,Happy
12:47:41,Happy
12:47:41,Happy
12:47:41,Neutral
12:47:42,Neutral
12:47:42,Neutral
12:47:42,Neutral
12:47:42,Neutral
12:47:43,Neutral
12:47:43,Happy
12:47:43,Happy
12:47:44,Happy
12:47:44,Happy
12:47:44,Happy
12:47:44,Happy
12:47:44,Happy
12:47:44,Happy
12:47:44,Happy
12:47:44,Happy
12:47:44,Happy
12:47:45,Happy
12:47:45,Happy
12:47:45,Happy
12:47:45,Happy
12:47:45,Happy
12:47:45,Happy
12:47:45,Happy
12:47:45,Happy
12:47:45,Happy
12:47:45,Happy
12:47:45,Happy
12:47:45,Happy
12:47:46,Happy
12:47:46,Happy
12:47:46,Happy
12:47:46,Happy
12:47:46,Happy
12:47:46,Happy
12:47:46,Happy
12:47:46,Happy
12:47:46,Happy
12:47:46,Happy
12:47:46,Happy
12:47:46,Happy
12:47:47,Happy
12:47:47,Happy
12:47:47,Happy
12:47:47,Happy
12:47:47,Happy
12:47:47,Happy
12:47:47,Happy
12:47:47,Happy
12:47:47,Happy
12:47:47,Happy
12:47:47,Happy
12:47:47,Happy
12:47:48,Happy
12:47:48,Happy
12:47:48,Happy
12:47:48,Neutral
12:47:48,Neutral
12:47:48,Happy
12:47:48,Happy
12:47:48,Happy
12:47:48,Happy
12:47:48,Happy
12:47:48,Happy
12:47:48,Happy
12:47:48,Happy
12:47:49,Happy
12:47:49,Happy
12:47:49,Happy
12:47:49,Happy
12:47:49,Happy
